
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |       52.34% |       64.71% |       1.5435 |       4.5499 |      1.0000e-04 |
|       8 |          30 |       00:00:22 |       98.44% |       79.41% |       0.0749 |       0.3898 |      1.0000e-04 |
|      13 |          50 |       00:00:38 |      100.00% |              |       0.0013 |              |      1.0000e-04 |
|      15 |          60 |       00:00:46 |      100.00% |       91.18% |       0.0001 |       0.3313 |      1.0000e-04 |
|      23 |          90 |       00:01:10 |      100.00% |       91.18% |   2.4857e-05 |       0.2941 |      1.0000e-04 |
|      25 |         100 |       00:01:18 |      100.00% |              |   9.7902e-05 |              |      1.0000e-04 |
|      30 |         120 |       00:01:34 |      100.00% |       88.24% |   7.1666e-06 |       0.4530 |      1.0000e-04 |
|      38 |         150 |       00:01:57 |      100.00% |       88.24% |   6.4420e-06 |       0.4700 |      1.0000e-04 |
|      45 |         180 |       00:02:21 |      100.00% |       91.18% |   1.1129e-06 |       0.4485 |      1.0000e-04 |
|      50 |         200 |       00:02:37 |      100.00% |              |   3.3929e-06 |              |      1.0000e-04 |
|      53 |         210 |       00:02:45 |      100.00% |       94.12% |   1.3975e-05 |       0.4624 |      1.0000e-04 |
|      60 |         240 |       00:03:09 |      100.00% |       88.24% |   4.7842e-06 |       0.7462 |      1.0000e-04 |
|      63 |         250 |       00:03:16 |      100.00% |              |   1.5069e-06 |              |      1.0000e-04 |
|      68 |         270 |       00:03:32 |      100.00% |       91.18% |   4.7074e-06 |       0.6249 |      1.0000e-04 |
|      75 |         300 |       00:03:56 |      100.00% |       91.18% |   1.3890e-05 |       0.5764 |      1.0000e-04 |
|      83 |         330 |       00:04:19 |      100.00% |       91.18% |   1.5582e-06 |       0.6687 |      1.0000e-04 |
|      88 |         350 |       00:04:35 |      100.00% |              |   2.6065e-06 |              |      1.0000e-04 |
|      90 |         360 |       00:04:43 |      100.00% |       91.18% |   3.1372e-06 |       0.5645 |      1.0000e-04 |
|      98 |         390 |       00:05:07 |      100.00% |       94.12% |   1.2759e-06 |       0.5464 |      1.0000e-04 |
|     100 |         400 |       00:05:15 |      100.00% |              |   4.7963e-07 |              |      1.0000e-04 |
|     105 |         420 |       00:05:30 |      100.00% |       91.18% |       0.0001 |       0.5459 |      1.0000e-04 |
|     113 |         450 |       00:05:53 |       60.16% |       79.41% |       2.0007 |       0.4194 |      1.0000e-04 |
|     120 |         480 |       00:06:17 |       86.72% |       85.29% |       0.2475 |       0.3533 |      1.0000e-04 |
|     125 |         500 |       00:06:32 |      100.00% |              |       0.0004 |              |      1.0000e-04 |
|     128 |         510 |       00:06:40 |      100.00% |       82.35% |       0.0002 |       0.8509 |      1.0000e-04 |
|     135 |         540 |       00:07:04 |      100.00% |       85.29% |   7.7173e-06 |       0.7903 |      1.0000e-04 |
|     138 |         550 |       00:07:11 |      100.00% |              |   3.9675e-06 |              |      1.0000e-04 |
|     143 |         570 |       00:07:28 |      100.00% |       82.35% |   3.9433e-06 |       0.7940 |      1.0000e-04 |
|     150 |         600 |       00:07:51 |      100.00% |       82.35% |   2.5342e-06 |       0.7983 |      1.0000e-04 |
|     158 |         630 |       00:08:15 |      100.00% |       82.35% |   4.7322e-06 |       0.8202 |      1.0000e-04 |
|     163 |         650 |       00:08:30 |      100.00% |              |   4.0905e-06 |              |      1.0000e-04 |
|     165 |         660 |       00:08:38 |      100.00% |       82.35% |   3.0883e-06 |       0.8106 |      1.0000e-04 |
|     173 |         690 |       00:09:01 |      100.00% |       82.35% |   9.1551e-06 |       0.8478 |      1.0000e-04 |
|     175 |         700 |       00:09:09 |      100.00% |              |   8.5065e-06 |              |      1.0000e-04 |
|     180 |         720 |       00:09:25 |      100.00% |       82.35% |   2.8089e-06 |       0.8498 |      1.0000e-04 |
|     188 |         750 |       00:09:49 |      100.00% |       82.35% |   4.3746e-06 |       0.8179 |      1.0000e-04 |
|     195 |         780 |       00:10:13 |      100.00% |       82.35% |   3.0902e-06 |       0.8418 |      1.0000e-04 |
|     200 |         800 |       00:10:28 |      100.00% |       82.35% |   2.2026e-06 |       0.8315 |      1.0000e-04 |
|======================================================================================================================|

accuracy =

    0.8571

