
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:03 |       64.06% |       35.29% |       1.4285 |       2.3473 |      1.0000e-04 |
|       8 |          30 |       00:00:51 |       92.19% |       82.35% |       0.3240 |       0.4131 |      1.0000e-04 |
|      13 |          50 |       00:01:24 |       99.22% |              |       0.0374 |              |      1.0000e-04 |
|      15 |          60 |       00:01:40 |      100.00% |       94.12% |       0.0100 |       0.1401 |      1.0000e-04 |
|      23 |          90 |       00:02:30 |      100.00% |       97.06% |       0.0009 |       0.1263 |      1.0000e-04 |
|      25 |         100 |       00:02:47 |      100.00% |              |       0.0008 |              |      1.0000e-04 |
|      30 |         120 |       00:03:20 |      100.00% |       97.06% |       0.0004 |       0.0967 |      1.0000e-04 |
|      38 |         150 |       00:04:11 |      100.00% |       97.06% |       0.0002 |       0.0996 |      1.0000e-04 |
|      45 |         180 |       00:05:00 |      100.00% |       97.06% |       0.0002 |       0.1004 |      1.0000e-04 |
|      50 |         200 |       00:05:33 |      100.00% |              |       0.0005 |              |      1.0000e-04 |
|      53 |         210 |       00:05:50 |      100.00% |       97.06% |       0.0003 |       0.0868 |      1.0000e-04 |
|      60 |         240 |       00:06:41 |      100.00% |       97.06% |   7.1563e-05 |       0.0916 |      1.0000e-04 |
|      63 |         250 |       00:06:58 |      100.00% |              |   6.2315e-05 |              |      1.0000e-04 |
|      68 |         270 |       00:07:32 |      100.00% |       97.06% |   9.6068e-05 |       0.0811 |      1.0000e-04 |
|      75 |         300 |       00:08:23 |      100.00% |       97.06% |   4.5149e-05 |       0.0970 |      1.0000e-04 |
|      83 |         330 |       00:09:13 |      100.00% |       97.06% |   3.9291e-05 |       0.0812 |      1.0000e-04 |
|      88 |         350 |       00:09:46 |      100.00% |              |   4.4817e-05 |              |      1.0000e-04 |
|      90 |         360 |       00:10:03 |      100.00% |       97.06% |   7.6213e-05 |       0.0788 |      1.0000e-04 |
|      98 |         390 |       00:10:47 |      100.00% |       97.06% |   4.3229e-05 |       0.0820 |      1.0000e-04 |
|     100 |         400 |       00:11:01 |      100.00% |              |   7.5710e-05 |              |      1.0000e-04 |
|     105 |         420 |       00:11:31 |      100.00% |       97.06% |   5.9136e-05 |       0.0780 |      1.0000e-04 |
|     113 |         450 |       00:12:14 |      100.00% |       97.06% |   2.2320e-05 |       0.0710 |      1.0000e-04 |
|     120 |         480 |       00:12:57 |      100.00% |       97.06% |   3.7357e-05 |       0.0662 |      1.0000e-04 |
|     125 |         500 |       00:13:26 |      100.00% |              |   2.8005e-05 |              |      1.0000e-04 |
|     128 |         510 |       00:13:41 |      100.00% |       97.06% |   2.6943e-05 |       0.0748 |      1.0000e-04 |
|     135 |         540 |       00:14:25 |      100.00% |       97.06% |   1.9140e-05 |       0.0669 |      1.0000e-04 |
|     138 |         550 |       00:14:39 |      100.00% |              |   5.9438e-05 |              |      1.0000e-04 |
|     143 |         570 |       00:15:08 |      100.00% |       97.06% |   4.6412e-05 |       0.0814 |      1.0000e-04 |
|     150 |         600 |       00:15:51 |      100.00% |       97.06% |   2.4704e-05 |       0.0749 |      1.0000e-04 |
|     158 |         630 |       00:16:35 |      100.00% |       97.06% |   1.0088e-05 |       0.0769 |      1.0000e-04 |
|     163 |         650 |       00:17:03 |      100.00% |              |   7.1002e-06 |              |      1.0000e-04 |
|     165 |         660 |       00:17:18 |      100.00% |       97.06% |   1.4289e-05 |       0.0717 |      1.0000e-04 |
|     173 |         690 |       00:18:01 |      100.00% |       97.06% |   1.0024e-05 |       0.0947 |      1.0000e-04 |
|     175 |         700 |       00:18:15 |      100.00% |              |   2.3654e-05 |              |      1.0000e-04 |
|     180 |         720 |       00:18:44 |      100.00% |       97.06% |   9.6122e-06 |       0.0714 |      1.0000e-04 |
|     188 |         750 |       00:19:27 |      100.00% |       97.06% |   1.0244e-05 |       0.0687 |      1.0000e-04 |
|     195 |         780 |       00:20:10 |      100.00% |       97.06% |   1.2497e-05 |       0.0701 |      1.0000e-04 |
|     200 |         800 |       00:20:39 |      100.00% |       97.06% |   1.8965e-05 |       0.0587 |      1.0000e-04 |
|======================================================================================================================|

accuracy =

    0.9429

