
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:06 |       40.00% |       36.76% |       0.7496 |       0.7304 |      1.0000e-04 |
|       1 |          30 |       00:01:47 |       80.00% |       86.76% |       0.3729 |       0.3154 |      1.0000e-04 |
|       1 |          50 |       00:02:54 |      100.00% |              |       0.0178 |              |      1.0000e-04 |
|       2 |          60 |       00:03:31 |      100.00% |       85.29% |       0.0878 |       0.3010 |      1.0000e-04 |
|       2 |          90 |       00:05:16 |      100.00% |       89.71% |       0.0189 |       0.2425 |      1.0000e-04 |
|       2 |         100 |       00:05:50 |      100.00% |              |       0.0161 |              |      1.0000e-04 |
|       3 |         120 |       00:07:02 |      100.00% |       79.41% |       0.0470 |       0.3278 |      1.0000e-04 |
|       3 |         150 |       00:08:55 |      100.00% |       83.82% |       0.0059 |       0.3286 |      1.0000e-04 |
|       4 |         180 |       00:10:44 |      100.00% |       88.24% |       0.0014 |       0.2902 |      1.0000e-04 |
|       4 |         200 |       00:11:53 |      100.00% |              |       0.0039 |              |      1.0000e-04 |
|       4 |         210 |       00:12:30 |      100.00% |       88.24% |       0.0016 |       0.2813 |      1.0000e-04 |
|       5 |         240 |       00:14:17 |      100.00% |       89.71% |       0.0013 |       0.2547 |      1.0000e-04 |
|       5 |         250 |       00:14:51 |      100.00% |              |       0.0013 |              |      1.0000e-04 |
|       5 |         270 |       00:16:04 |      100.00% |       89.71% |       0.0030 |       0.1743 |      1.0000e-04 |
|       6 |         300 |       00:17:51 |      100.00% |       89.71% |       0.0001 |       0.5501 |      1.0000e-04 |
|       6 |         330 |       00:19:38 |      100.00% |       91.18% |       0.0010 |       0.1799 |      1.0000e-04 |
