
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |       43.33% |       66.18% |       0.7427 |       0.7231 |      1.0000e-04 |
|       2 |          30 |       00:00:26 |      100.00% |       88.24% |       0.0087 |       0.2217 |      1.0000e-04 |
|       3 |          50 |       00:00:43 |      100.00% |              |       0.0010 |              |      1.0000e-04 |
|       4 |          60 |       00:00:53 |      100.00% |       86.76% |       0.0007 |       0.3056 |      1.0000e-04 |
|       5 |          90 |       00:01:23 |      100.00% |       88.24% |       0.0004 |       0.2998 |      1.0000e-04 |
|       6 |         100 |       00:01:32 |      100.00% |              |       0.0004 |              |      1.0000e-04 |
|       7 |         120 |       00:01:52 |      100.00% |       88.24% |       0.0003 |       0.3000 |      1.0000e-04 |
|       9 |         150 |       00:02:22 |      100.00% |       88.24% |       0.0002 |       0.3026 |      1.0000e-04 |
|      10 |         180 |       00:02:51 |      100.00% |       88.24% |       0.0002 |       0.3058 |      1.0000e-04 |
|      12 |         200 |       00:03:09 |      100.00% |              |       0.0002 |              |      1.0000e-04 |
|      12 |         210 |       00:03:20 |      100.00% |       88.24% |       0.0002 |       0.3088 |      1.0000e-04 |
|      14 |         240 |       00:03:49 |      100.00% |       88.24% |       0.0001 |       0.3118 |      1.0000e-04 |
|      14 |         250 |       00:03:58 |      100.00% |              |   7.0182e-05 |              |      1.0000e-04 |
|      15 |         270 |       00:04:18 |      100.00% |       88.24% |       0.0001 |       0.3149 |      1.0000e-04 |
|      17 |         300 |       00:04:47 |      100.00% |       88.24% |       0.0001 |       0.3178 |      1.0000e-04 |
|      19 |         330 |       00:05:16 |      100.00% |       88.24% |   8.2125e-05 |       0.3205 |      1.0000e-04 |
